category,order_date,orders_count,rolling_mean_30,rolling_std_30,z_score
agro_industry_and_commerce,2017-11-23,2,1.0666666666666667,0.2537081317024624,3.6787679096857056
agro_industry_and_commerce,2018-02-28,4,1.2,0.6102571532587294,4.58822970783415
agro_industry_and_commerce,2018-07-18,4,1.2,0.6102571532587294,4.58822970783415
agro_industry_and_commerce,2018-07-19,4,1.3,0.7943767889097848,3.398890850909079
air_conditioning,2018-08-02,3,1.2666666666666666,0.5208304597621878,3.3280183615312686
art,2018-01-16,2,1.0666666666666667,0.2537081317024624,3.6787679096857056
art,2018-01-18,4,1.2,0.6102571532587294,4.58822970783415
art,2018-04-28,3,1.2333333333333334,0.504006932993731,3.505242787381738
art,2018-05-14,4,1.5333333333333334,0.7302967433402217,3.377622437948524
art,2018-07-12,4,1.4666666666666666,0.7302967433402217,3.468909530866051
audio,2017-05-17,5,1.2666666666666666,0.784915252764901,4.756352128694774
audio,2017-10-09,3,1.2333333333333334,0.5040069329937309,3.505242787381739
audio,2017-10-16,4,1.4,0.7239737088005909,3.5912906344450364
audio,2017-11-24,6,1.7666666666666666,1.1043279539543758,3.8334023133025115
audio,2018-07-22,5,1.6,0.9321831993987981,3.647351724631805
auto,2017-05-29,8,3.2666666666666666,1.574217557880813,3.006784741815021
auto,2017-09-27,9,3.433333333333333,1.7157150581957206,3.2445169960335267
auto,2017-10-03,10,3.6333333333333333,2.042367343994732,3.1172975250445885
auto,2017-11-09,14,4.3,2.6017235666460383,3.7282977040118706
auto,2017-11-24,42,6.333333333333333,7.396799556440672,4.821905257066261
auto,2018-01-16,18,6.666666666666667,3.65148371670112,3.10376115919593
baby,2017-09-04,11,4.266666666666667,2.09980842038002,3.206641743114234
baby,2017-11-24,23,5.366666666666666,4.33496874533006,4.067695609646374
baby,2018-01-08,14,4.766666666666667,2.812329177443288,3.283162372097364
bed_bath_table,2017-03-01,17,5.433333333333334,3.1914036835324304,3.6243195200752574
bed_bath_table,2017-11-24,154,21.566666666666666,25.60399124777409,5.172370668766205
bed_bath_table,2018-05-15,43,20.9,6.768843429959846,3.264959550132644
books_general_interest,2017-05-01,3,1.3,0.5349830806219241,3.177670587308537
books_general_interest,2017-08-30,4,1.5,0.820008410385801,3.0487492181010554
books_general_interest,2017-11-24,6,1.5333333333333334,1.0080138659874618,4.431155976501444
books_general_interest,2018-01-09,6,1.7,1.0875470659652646,3.9538518695588465
books_general_interest,2018-03-03,5,1.5,1.0747894741730142,3.2564516904048015
books_imported,2018-06-13,2,1.0666666666666667,0.2537081317024625,3.6787679096857047
books_technical,2018-01-16,2,1.0666666666666667,0.2537081317024624,3.6787679096857056
books_technical,2018-01-29,2,1.0666666666666667,0.2537081317024624,3.6787679096857056
books_technical,2018-01-31,3,1.1333333333333333,0.43417248545530474,4.299366563289115
books_technical,2018-03-22,4,1.4666666666666666,0.7760791522613609,3.264271854168014
christmas_supplies,2018-04-23,3,1.3,0.534983080621924,3.1776705873085374
computers,2018-04-18,4,1.3,0.7497125886079532,3.6013801035584714
computers_accessories,2017-05-09,16,5.0,2.754306972098739,3.993745109543172
computers_accessories,2017-11-24,61,11.733333333333333,9.954840559984506,4.949016146446784
computers_accessories,2018-01-08,23,7.9,4.663504675892256,3.237908193393407
computers_accessories,2018-01-22,42,13.5,9.115163569379968,3.1266580992291098
computers_accessories,2018-08-02,34,13.2,6.238921215325169,3.3339097068427908
consoles_games,2017-03-03,5,1.5666666666666667,1.0400044208570938,3.301268018172305
consoles_games,2017-06-19,6,1.5666666666666667,1.0063019815944514,4.405569515334618
consoles_games,2017-11-24,27,3.933333333333333,4.600849496772745,5.013566882126165
construction_tools_construction,2017-10-13,3,1.0666666666666667,0.3651483716701107,5.2946513892166065
construction_tools_construction,2017-10-31,3,1.1333333333333333,0.5074162634049248,3.6787679096857056
construction_tools_construction,2017-11-25,5,1.4333333333333333,0.9352607356658146,3.8135533019330135
construction_tools_construction,2017-11-26,5,1.5666666666666667,1.1351236704106018,3.0246337230298557
construction_tools_construction,2018-05-07,8,3.0,1.5756771943166696,3.173238794109964
construction_tools_lights,2018-05-14,7,1.9333333333333333,1.2576204496597128,4.028772486991291
construction_tools_lights,2018-08-06,7,2.2,1.3493293353264104,3.5573227931332663
construction_tools_safety,2018-04-05,3,1.1333333333333333,0.43417248545530474,4.299366563289115
construction_tools_safety,2018-04-27,3,1.2333333333333334,0.5683207771559354,3.1085730764721453
cool_stuff,2017-11-24,28,8.666666666666666,4.2615630395700945,4.53667660288411
costruction_tools_garden,2017-11-14,3,1.2666666666666666,0.5208304597621877,3.328018361531269
costruction_tools_garden,2018-07-23,4,1.3666666666666667,0.7183954022841379,3.6655765403852127
costruction_tools_tools,2018-02-24,3,1.2,0.48423419811150226,3.7172095796206506
drinks,2018-01-02,4,1.3333333333333333,0.7111590022187595,3.749747466244369
drinks,2018-01-04,5,1.4333333333333333,0.9714309861845771,3.671559500768262
drinks,2018-03-07,5,1.6,0.8550055454548937,3.9765823953704036
dvds_blu_ray,2017-11-27,2,1.0666666666666667,0.2537081317024624,3.6787679096857056
dvds_blu_ray,2018-06-16,2,1.0666666666666667,0.2537081317024624,3.6787679096857056
electronics,2017-04-05,5,1.7,0.9153857298880939,3.6050376275839757
electronics,2017-04-23,6,2.0,1.2317635241028793,3.247376563543955
electronics,2017-07-07,8,2.1,1.5391444107819703,3.83329852525175
electronics,2017-09-05,5,2.1333333333333333,0.9371024061116419,3.0590751319927203
electronics,2017-09-13,6,2.1666666666666665,1.205828755879435,3.1790030836821495
