weekday,weekday_name,orders_count,items_count,total_revenue,avg_item_price,median_item_price,large_items_count_top5,large_revenue_top5,large_items_share_top5,large_revenue_share_of_period_top5,large_revenue_distribution_top5,large_items_count_top10,large_revenue_top10,large_items_share_top10,large_revenue_share_of_period_top10,large_revenue_distribution_top10,large_items_count_top15,large_revenue_top15,large_items_share_top15,large_revenue_share_of_period_top15,large_revenue_distribution_top15,large_items_count_top20,large_revenue_top20,large_items_share_top20,large_revenue_share_of_period_top20,large_revenue_distribution_top20
0,Mon,6904,7900,957576.07,121.21216075949367,75.0,402,280048.66,0.05088607594936709,0.29245578369559716,0.15848573498472052,812,394708.16,0.10278481012658228,0.4121950958945747,0.16066599845049861,1184,470421.74,0.149873417721519,0.49126304921132796,0.15924410290720592,1606,541961.53,0.20329113924050632,0.5659722992033417,0.16066128622443257
1,Tue,6920,7946,952382.1900000001,119.85680719859049,72.9,376,273191.96,0.04731940599043544,0.2868511852368848,0.15460537669602267,768,381927.64,0.09665240372514473,0.40102350086996064,0.15546368642706196,1166,463744.34,0.1467404983639567,0.48693092423326395,0.15698371295849187,1570,531861.89,0.1975836899068714,0.5584542587886907,0.15766730775366594
2,Wed,6508,7445,887501.4400000001,119.20771524513097,69.9,381,262787.03,0.051175285426460715,0.29609758154307897,0.14871699651768305,746,363491.08,0.10020147750167897,0.4095667495480345,0.14795908272088948,1120,440448.29,0.15043653458697112,0.4962789581501974,0.14909768587238947,1454,496829.19,0.19529885829415716,0.5598066297222007,0.14728207129248266
3,Thu,6286,7197,854171.97,118.68444768653605,71.5,370,248604.66,0.05141030985132694,0.29104755099842483,0.14069087943761827,702,340542.21,0.09754064193413922,0.39868108760347176,0.1386177427499583,1067,415236.64,0.14825621786855633,0.4861276822277369,0.14056320235328074,1453,480310.49,0.20188967625399473,0.562311228733015,0.14238520049658773
4,Fri,6658,7622,938699.76,123.15662030963001,71.82,430,298085.7,0.056415638939910785,0.3175516951234759,0.1686932951328348,816,406227.97,0.10705851482550512,0.43275601774948785,0.16535513833453355,1162,477152.14,0.1524534242980845,0.5083117737241138,0.16152243407065653,1562,544666.96,0.20493308842823407,0.5802355377186844,0.1614632949271354
5,Sat,4853,5474,682763.53,124.72844903178664,74.9,300,217499.51,0.05480453050785532,0.31855759782599985,0.12308778660525128,611,302910.18,0.11161856046766533,0.44365313419713553,0.12329962094150843,890,359241.31,0.16258677383997078,0.5261577313597872,0.12160802801792167,1149,402731.47,0.20990135184508585,0.5898549824417246,0.11938735941876993
6,Sun,5299,5972,689807.05,115.50687374413933,69.99,257,186810.03,0.043034159410582716,0.2708149039648116,0.10571993062586942,546,266892.77,0.09142665773610181,0.3869093103643983,0.1086387303755496,845,327847.6,0.1414936369725385,0.4752743538935996,0.11098083382005364,1124,374955.98,0.18821165438714,0.5435664654340658,0.11115347988692593
