quarter,orders_count,items_count,total_revenue,avg_item_price,median_item_price,large_items_count_top5,large_revenue_top5,large_items_share_top5,large_revenue_share_of_period_top5,large_revenue_distribution_top5,large_items_count_top10,large_revenue_top10,large_items_share_top10,large_revenue_share_of_period_top10,large_revenue_distribution_top10,large_items_count_top15,large_revenue_top15,large_items_share_top15,large_revenue_share_of_period_top15,large_revenue_distribution_top15,large_items_count_top20,large_revenue_top20,large_items_share_top20,large_revenue_share_of_period_top20,large_revenue_distribution_top20
1,4949,5668,705220.61,124.42142025405786,69.9,327,241934.56,0.057692307692307696,0.34306223693604193,0.1369161222189207,588,315161.59,0.10374029640084687,0.4468978721424492,0.12828655868324765,845,367568.91,0.14908256880733944,0.5212112419686656,0.1244270329205651,1115,413275.66,0.1967184191954834,0.5860232303760946,0.1225131221045362
2,8984,10062,1251931.3,124.42171536473863,73.625,557,408314.53,0.05535678791492745,0.32614771273791143,0.23107422971418867,1071,550473.19,0.10644007155635063,0.43969919914934624,0.22407017045601754,1573,653658.25,0.15633074935400518,0.5221199038637343,0.22127213259562398,2053,734836.7,0.20403498310475054,0.5869624794906877,0.21783798821831035
3,12215,13950,1643703.89,117.82823584229389,69.98,662,453834.5,0.047455197132616485,0.27610477943201805,0.2568349882264145,1308,634178.54,0.09376344086021506,0.38582286253517356,0.25814244206397835,2082,792354.32,0.149247311827957,0.4820541733949416,0.26822262268969366,2860,923087.18,0.2050179211469534,0.5615897033619602,0.27364372824780436
4,17280,19876,2362046.21,118.83911300060375,74.9,970,662943.96,0.04880257597102033,0.2806651102731813,0.37517465984047615,2034,956886.69,0.10233447373717046,0.4051092167244264,0.3895008287967565,2934,1140510.58,0.1476152143288388,0.482848546811453,0.3860782117941172,3890,1302117.97,0.19571342322398874,0.5512669330884936,0.38600516142934915
