year_month,orders_count,payment_value_sum,avg_order_value,large_purchase_share,avg_payment_installments,share_installments_6_plus,items_sold,products_sold,revenue,freight_sum,avg_item_price,avg_freight_value,avg_review_score,avg_delivery_time_days,gmv,year,month
2016-09,1,0.0,,0.0,,0.0,3,1,134.97,8.49,44.99,2.83,1.0,54.81319444444444,143.46,2016,9
2016-10,265,46566.71,175.72343396226415,0.1471698113207547,3.6528301886792454,0.24150943396226415,313,239,40325.11,6165.55,128.83421725239617,19.698242811501597,3.899676375404531,19.579638504319018,46490.66,2016,10
2016-12,1,19.62,19.62,0.0,1.0,0.0,1,1,10.9,8.72,10.9,8.72,5.0,4.693020833333334,19.62,2016,12
2017-01,750,127545.67,170.06089333333333,0.14,2.974666666666667,0.18266666666666667,913,583,111798.36,15684.01,122.45165388828039,17.17854326396495,4.156699889258029,12.64142457456087,127482.37,2017,1
2017-02,1653,271298.65,164.12501512401695,0.10405323653962492,2.823956442831216,0.15547489413188142,1858,1210,234223.4,37015.92,126.062109795479,19.922454251883746,4.178030303030303,13.172741616582945,271239.32,2017,2
2017-03,2546,414369.39,162.75309897879026,0.10761979575805185,2.9725058915946585,0.17635506677140614,2897,1720,359198.85,55132.1,123.98993786675871,19.030755954435623,4.135619777158774,12.983647115790282,414330.94999999995,2017,3
2017-04,2303,390952.18,169.7577854971776,0.11463308727746417,3.1732522796352582,0.19279201042118976,2569,1601,340669.68,50142.72,132.60789412222655,19.518380692876605,4.1003913894324855,14.844663820228364,390812.4,2017,4
2017-05,3546,567066.73,159.91729554427525,0.09588268471517203,3.352509870276368,0.20755781161872533,4004,2296,489338.25,77513.15,122.21235014985015,19.35892857142857,4.204659949622166,11.453805117805164,566851.4,2017,5
2017-06,3135,490225.6,156.37180223285486,0.08995215311004785,3.232535885167464,0.19425837320574163,3489,1987,421923.37,68127.0,120.92959873889366,19.526225279449697,4.189953810623557,11.982161349691623,490050.37,2017,6
2017-07,3872,566403.93,146.28200671487605,0.08471074380165289,3.2773760330578514,0.18336776859504134,4416,2464,481604.52,84694.56,109.05899456521739,19.179021739130434,4.1878898524265935,11.436557724646068,566299.0800000001,2017,7
2017-08,4193,646000.61,154.066446458383,0.09253517767708085,3.1595516336751728,0.1800620081087527,4797,2800,554699.7,91132.66,115.63470919324577,18.99784448613717,4.280999578237031,10.919038140639596,645832.36,2017,8
2017-09,4150,701169.99,168.95662409638555,0.10987951807228916,3.076144578313253,0.1783132530120482,4737,2752,607399.67,93677.82,128.22454507071987,19.775769474350856,4.184495959166312,11.852501387813822,701077.49,2017,9
2017-10,4478,751140.27,167.7401228226887,0.11322018758374275,2.9472979008485933,0.16279589102277803,5214,2935,648247.65,102869.36,124.32827963176065,19.729451476793248,4.109928391716664,11.704004041380756,751117.01,2017,10
2017-11,7289,1153528.05,158.25600905474002,0.10275757991494032,3.1041295102208806,0.17176567430374537,8475,4400,987765.37,165598.83,116.55048613569322,19.53968495575221,3.8953723530811324,15.044043969735313,1153364.2,2017,11
2017-12,5513,843199.17,152.94742789769637,0.08688554326138219,2.925993107201161,0.1592599310720116,6187,3358,726033.1900000001,117045.1,117.34818005495394,18.91790851786003,4.011926155856886,15.243376342794628,843078.29,2017,12
2018-01,7069,1078606.86,152.58266515773096,0.09294101004385344,2.683972273305984,0.13325788654689488,8037,4022,924645.0,153242.46,115.04852556924226,19.067122060470325,4.001819550759192,14.097425446085007,1077887.46,2018,1
2018-02,6555,966510.88,147.44635850495806,0.09000762776506484,2.6590389016018308,0.13424866514111367,7518,3745,826437.13,139731.28,109.9277906358074,18.586230380420325,3.77822508498837,16.908591791736868,966168.41,2018,2
2018-03,7003,1120678.0,160.02827359702985,0.10352705983150079,2.8927602456090247,0.15721833499928603,8017,4085,953356.25,167241.99,118.91683297991767,20.86091929649495,3.745568824638592,16.037130012207854,1120598.24,2018,3
2018-04,6798,1132933.95,166.65695057369814,0.10576640188290674,2.7437481612238894,0.1423948220064725,7827,4248,973534.09,159344.84,124.38151143477705,20.35835441420723,4.114993564993565,11.327150391096346,1132878.93,2018,4
2018-05,6749,1128836.69,167.25984442139574,0.10505260038524226,2.884871832864128,0.16446881019410284,7810,4011,977544.6900000001,151229.83,125.1657733674776,19.36361459667093,4.164178143905264,11.318065992969602,1128774.52,2018,5
2018-06,6099,1012090.68,165.9437088047221,0.10657484833579275,2.8740777176586327,0.16199376947040497,7010,3990,856077.86,155900.43,122.12237660485022,22.23971897289586,4.211469534050179,9.117472737249523,1011978.29,2018,6
2018-07,6159,1027903.86,166.89460301997076,0.10358824484494236,2.7627861665854847,0.14482870595875955,6963,4125,867953.46,159853.82,124.65222748815165,22.957607353152376,4.274107271938702,8.885663603528096,1027807.28,2018,7
2018-08,6351,985414.28,155.15891670603054,0.09085183435679421,2.7923161706817825,0.14391434419776414,7142,4308,838576.64,146915.0,117.4148193783254,20.570568468216187,4.247611688676595,7.696339607512161,985491.64,2018,8
