threshold,price_quantile,min_item_price,items_count,items_share,revenue,revenue_share
top5,0.95,349.0,2516,0.05077084510452821,1767027.5499999998,0.29633684186602954
top10,0.9,229.99,5001,0.10091613528129792,2456700.01,0.4119973807854005
top15,0.85,184.9375,7434,0.15001210751473082,2954092.0599999996,0.4954118070439329
top20,0.8,154.0,9918,0.20013721850028252,3373317.5100000002,0.5657174148330505
