product_id,category,total_orders,total_revenue,active_months,seasonality_score,peak_to_mean,peak_month,peak_quarter,peak_quarter_share,confidence_level
d389bacae4eb98af95b782dae3b7f03a,watches_gifts,2,1518.0,1,3.3166247903554,12.0,5,2,1.0,low
d38b4ba2e81db02dbcee8ded3880121c,musical_instruments,1,79.9,1,3.3166247903554,12.0,12,4,1.0,low
d399dfc93e30e60fce539861202763af,home_confort,1,199.0,1,3.3166247903554,12.0,3,1,1.0,low
d3c264d1e08ef19321e6d5a75f419c82,housewares,1,19.9,1,3.3166247903554,12.0,11,4,1.0,low
d3a45de279a0bde9b598a181bd2a9815,toys,2,189.8,1,3.3166247903554,12.0,5,2,1.0,low
d3a735e40a3d006beb83b9b0594d3765,watches_gifts,1,198.0,1,3.3166247903554,12.0,5,2,1.0,low
72d0a38fe43ba7087d71e245d1b76c9e,kitchen_dining_laundry_garden_furniture,2,458.0,1,3.3166247903554,12.0,11,4,1.0,low
72d135605b8f0dd92505c47ca12157bd,health_beauty,1,33.25,1,3.3166247903554,12.0,11,4,1.0,low
72d2aa9f75bba9d406d4c7170d226c6d,furniture_decor,1,14.9,1,3.3166247903554,12.0,11,4,1.0,low
72d4a1fccf33a998eb237a97be04c032,furniture_decor,1,68.99,1,3.3166247903554,12.0,6,2,1.0,low
72d6074ef5c81ec3102b3f2a052c5f49,health_beauty,1,139.65,1,3.3166247903554,12.0,12,4,1.0,low
736000073edfb5a7d5fc8d710e93772a,auto,1,139.9,1,3.3166247903554,12.0,11,4,1.0,low
7365350090e895554bc2aeb4fea072e7,health_beauty,1,37.9,1,3.3166247903554,12.0,8,3,1.0,low
7367e6c268b9dca6187b2576a496d471,furniture_decor,1,34.9,1,3.3166247903554,12.0,10,4,1.0,low
d3a1e0ce5009f1a816a6ba558908fdf0,small_appliances,1,89.59,1,3.3166247903554,12.0,12,4,1.0,low
71e54303c8b80673889bfc98bc5ecb0e,bed_bath_table,1,169.99,1,3.3166247903554,12.0,2,1,1.0,low
d3c395bcfed8dcf4539f11fbc4094527,cool_stuff,1,499.9,1,3.3166247903554,12.0,7,3,1.0,low
d3ce671d83f4434fbe5a05ff93427ef0,telephony,1,35.0,1,3.3166247903554,12.0,11,4,1.0,low
d3ceda8c68fb31960dab19adf28e5c6d,furniture_decor,2,198.0,1,3.3166247903554,12.0,11,4,1.0,low
d3d090c53e5d9ce8cc671f26eec8e2e8,housewares,1,49.9,1,3.3166247903554,12.0,3,1,1.0,low
d3d5a1d52abe9a7d234908d873fc377b,luggage_accessories,1,229.9,1,3.3166247903554,12.0,5,2,1.0,low
d3e08a8d7b87b86014638167087a8eaa,telephony,1,24.99,1,3.3166247903554,12.0,11,4,1.0,low
7285e977b36a2243203636b240772c5e,unknown,1,34.99,1,3.3166247903554,12.0,5,2,1.0,low
7289a8d65ae2c86dfdee27f8af257a3d,health_beauty,1,449.0,1,3.3166247903554,12.0,9,3,1.0,low
728af3cd3c85437cc72784d472f8edc4,cool_stuff,1,13.9,1,3.3166247903554,12.0,9,3,1.0,low
72b88dcc0910a3d1db986870c1515029,musical_instruments,2,179.8,1,3.3166247903554,12.0,9,3,1.0,low
72dd1eeff415bc31b58e99cca0a83e23,sports_leisure,1,61.25,1,3.3166247903554,12.0,5,2,1.0,low
72ef87b1953a2844ed089bd6dcf73913,office_furniture,1,61.5,1,3.3166247903554,12.0,9,3,1.0,low
72f2ba8b34e02757c445970388158e46,watches_gifts,1,48.9,1,3.3166247903554,12.0,11,4,1.0,low
72f399a2336a151acdb3a0a3b391f75a,unknown,1,49.9,1,3.3166247903554,12.0,2,1,1.0,low
72f47ace173a4fa96b05a1462e025aee,bed_bath_table,1,147.13,1,3.3166247903554,12.0,9,3,1.0,low
72fd27ef586cb111f4a1364a61734a6c,toys,1,96.4,1,3.3166247903554,12.0,12,4,1.0,low
7304acc3196eb4cb479464c421de747f,bed_bath_table,1,375.0,1,3.3166247903554,12.0,11,4,1.0,low
72a26085dd4fbd27f7206188081008d9,housewares,1,73.0,1,3.3166247903554,12.0,6,2,1.0,low
72acc66d907f5fa13bcd1df22696c73a,fashion_bags_accessories,1,24.9,1,3.3166247903554,12.0,2,1,1.0,low
72b4b2eaeeba10703a63a5f639315366,auto,1,149.9,1,3.3166247903554,12.0,11,4,1.0,low
72b61ed035f5576359ccf0d2ec7bddf2,sports_leisure,1,119.8,1,3.3166247903554,12.0,12,4,1.0,low
728b05c29f6264ed83982354d261654a,office_furniture,1,179.99,1,3.3166247903554,12.0,10,4,1.0,low
